Professione1;Professione2;common skilz
Personale di segreteria (compiti generali);Specialisti in scienze sanitarie infermieristiche;34
Personale di segreteria (compiti generali);Addetti buste paga;63
Personale di segreteria (compiti generali);Specialisti di personale e sviluppo di carriera;55
Personale di segreteria (compiti generali);Rappresentanti di commercio;63
Personale di segreteria (compiti generali);Dirigenti delle risorse umane;55
Personale di segreteria (compiti generali);Addetti alla reception (compiti generali);56
Personale di segreteria (compiti generali);Infermieri (livello intermedio);51
Personale di segreteria (compiti generali);Tecnici meccanici;40
Personale di segreteria (compiti generali);Personale di ufficio con compiti generali;66
Personale di segreteria (compiti generali);Analisti di sistema;52
Personale di segreteria (compiti generali);Addetti alla gestione degli stock;33
Personale di segreteria (compiti generali);Tecnici delle scienze sociali;30
Personale di segreteria (compiti generali);Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;60
Personale di segreteria (compiti generali);Dirigenti nei servizi di vendita e commercializzazione;61
Personale di segreteria (compiti generali);Addetti a servizi statistici, finanziari e assicurativi;61
Personale di segreteria (compiti generali);Agenti immobiliari e amministratori;71
Personale di segreteria (compiti generali);Segretari addetti a mansioni amministrative ed esecutive;61
Personale di segreteria (compiti generali);Sviluppatori di software;39
Personale di segreteria (compiti generali);Dirigenti dell'industria manifatturiera;63
Personale di segreteria (compiti generali);Addetti alla gestione amministrativa dei trasporti;45
Personale di segreteria (compiti generali);Tecnici per la gestione dell'informazione e della comunicazione;62
Personale di segreteria (compiti generali);Disegnatori industriali;48
Personale di segreteria (compiti generali);Chef;34
Personale di segreteria (compiti generali);Responsabili degli acquisti;67
Personale di segreteria (compiti generali);Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;54
Personale di segreteria (compiti generali);Sviluppatori Web e multimediali;45
Personale di segreteria (compiti generali);Dirigenti nel settore ricerca e sviluppo;50
Personale di segreteria (compiti generali);Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;60
Personale di segreteria (compiti generali);Grafici e progettisti multimediali;37
Personale di segreteria (compiti generali);Specialisti della pubblicitˆ e del marketing;49
Personale di segreteria (compiti generali);Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;60
Personale di segreteria (compiti generali);Dirigenti nei servizi finanziari;51
Personale di segreteria (compiti generali);Esattori di crediti ed assimilati;55
Personale di segreteria (compiti generali);Dirigenti nei servizi sanitari;56
Personale di segreteria (compiti generali);Specialisti nell'assistenza sociale e nell'orientamento;50
Personale di segreteria (compiti generali);Tecnici dei centri di informazione;62
Personale di segreteria (compiti generali);Aiuto contabili;65
Personale di segreteria (compiti generali);Ingegneri elettronici;34
Personale di segreteria (compiti generali);Addetti all'informazione;57
Personale di segreteria (compiti generali);Contabili;57
Personale di segreteria (compiti generali);Dirigenti nel commercio all'ingrosso e al dettaglio;65
Specialisti in scienze sanitarie infermieristiche;Addetti buste paga;39
Specialisti in scienze sanitarie infermieristiche;Specialisti di personale e sviluppo di carriera;45
Specialisti in scienze sanitarie infermieristiche;Rappresentanti di commercio;36
Specialisti in scienze sanitarie infermieristiche;Dirigenti delle risorse umane;43
Specialisti in scienze sanitarie infermieristiche;Addetti alla reception (compiti generali);39
Specialisti in scienze sanitarie infermieristiche;Infermieri (livello intermedio);48
Specialisti in scienze sanitarie infermieristiche;Tecnici meccanici;32
Specialisti in scienze sanitarie infermieristiche;Personale di ufficio con compiti generali;33
Specialisti in scienze sanitarie infermieristiche;Analisti di sistema;30
Specialisti in scienze sanitarie infermieristiche;Addetti alla gestione degli stock;26
Specialisti in scienze sanitarie infermieristiche;Tecnici delle scienze sociali;27
Specialisti in scienze sanitarie infermieristiche;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;44
Specialisti in scienze sanitarie infermieristiche;Dirigenti nei servizi di vendita e commercializzazione;39
Specialisti in scienze sanitarie infermieristiche;Addetti a servizi statistici, finanziari e assicurativi;33
Specialisti in scienze sanitarie infermieristiche;Agenti immobiliari e amministratori;51
Specialisti in scienze sanitarie infermieristiche;Segretari addetti a mansioni amministrative ed esecutive;39
Specialisti in scienze sanitarie infermieristiche;Sviluppatori di software;29
Specialisti in scienze sanitarie infermieristiche;Dirigenti dell'industria manifatturiera;47
Specialisti in scienze sanitarie infermieristiche;Addetti alla gestione amministrativa dei trasporti;30
Specialisti in scienze sanitarie infermieristiche;Tecnici per la gestione dell'informazione e della comunicazione;42
Specialisti in scienze sanitarie infermieristiche;Disegnatori industriali;33
Specialisti in scienze sanitarie infermieristiche;Chef;34
Specialisti in scienze sanitarie infermieristiche;Responsabili degli acquisti;38
Specialisti in scienze sanitarie infermieristiche;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;37
Specialisti in scienze sanitarie infermieristiche;Sviluppatori Web e multimediali;30
Specialisti in scienze sanitarie infermieristiche;Dirigenti nel settore ricerca e sviluppo;41
Specialisti in scienze sanitarie infermieristiche;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;39
Specialisti in scienze sanitarie infermieristiche;Grafici e progettisti multimediali;32
Specialisti in scienze sanitarie infermieristiche;Specialisti della pubblicitˆ e del marketing;31
Specialisti in scienze sanitarie infermieristiche;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;44
Specialisti in scienze sanitarie infermieristiche;Dirigenti nei servizi finanziari;35
Specialisti in scienze sanitarie infermieristiche;Esattori di crediti ed assimilati;31
Specialisti in scienze sanitarie infermieristiche;Dirigenti nei servizi sanitari;54
Specialisti in scienze sanitarie infermieristiche;Specialisti nell'assistenza sociale e nell'orientamento;44
Specialisti in scienze sanitarie infermieristiche;Tecnici dei centri di informazione;39
Specialisti in scienze sanitarie infermieristiche;Aiuto contabili;32
Specialisti in scienze sanitarie infermieristiche;Ingegneri elettronici;29
Specialisti in scienze sanitarie infermieristiche;Addetti all'informazione;34
Specialisti in scienze sanitarie infermieristiche;Contabili;41
Specialisti in scienze sanitarie infermieristiche;Dirigenti nel commercio all'ingrosso e al dettaglio;43
Addetti buste paga;Specialisti di personale e sviluppo di carriera;67
Addetti buste paga;Rappresentanti di commercio;73
Addetti buste paga;Dirigenti delle risorse umane;76
Addetti buste paga;Addetti alla reception (compiti generali);59
Addetti buste paga;Infermieri (livello intermedio);60
Addetti buste paga;Tecnici meccanici;53
Addetti buste paga;Personale di ufficio con compiti generali;59
Addetti buste paga;Analisti di sistema;56
Addetti buste paga;Addetti alla gestione degli stock;32
Addetti buste paga;Tecnici delle scienze sociali;43
Addetti buste paga;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;82
Addetti buste paga;Dirigenti nei servizi di vendita e commercializzazione;70
Addetti buste paga;Addetti a servizi statistici, finanziari e assicurativi;68
Addetti buste paga;Agenti immobiliari e amministratori;83
Addetti buste paga;Segretari addetti a mansioni amministrative ed esecutive;67
Addetti buste paga;Sviluppatori di software;41
Addetti buste paga;Dirigenti dell'industria manifatturiera;71
Addetti buste paga;Addetti alla gestione amministrativa dei trasporti;66
Addetti buste paga;Tecnici per la gestione dell'informazione e della comunicazione;73
Addetti buste paga;Disegnatori industriali;57
Addetti buste paga;Chef;34
Addetti buste paga;Responsabili degli acquisti;81
Addetti buste paga;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;53
Addetti buste paga;Sviluppatori Web e multimediali;55
Addetti buste paga;Dirigenti nel settore ricerca e sviluppo;63
Addetti buste paga;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;63
Addetti buste paga;Grafici e progettisti multimediali;47
Addetti buste paga;Specialisti della pubblicitˆ e del marketing;56
Addetti buste paga;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;69
Addetti buste paga;Dirigenti nei servizi finanziari;64
Addetti buste paga;Esattori di crediti ed assimilati;71
Addetti buste paga;Dirigenti nei servizi sanitari;74
Addetti buste paga;Specialisti nell'assistenza sociale e nell'orientamento;55
Addetti buste paga;Tecnici dei centri di informazione;70
Addetti buste paga;Aiuto contabili;67
Addetti buste paga;Ingegneri elettronici;43
Addetti buste paga;Addetti all'informazione;52
Addetti buste paga;Contabili;72
Addetti buste paga;Dirigenti nel commercio all'ingrosso e al dettaglio;77
Specialisti di personale e sviluppo di carriera;Rappresentanti di commercio;80
Specialisti di personale e sviluppo di carriera;Dirigenti delle risorse umane;77
Specialisti di personale e sviluppo di carriera;Addetti alla reception (compiti generali);47
Specialisti di personale e sviluppo di carriera;Infermieri (livello intermedio);58
Specialisti di personale e sviluppo di carriera;Tecnici meccanici;51
Specialisti di personale e sviluppo di carriera;Personale di ufficio con compiti generali;54
Specialisti di personale e sviluppo di carriera;Analisti di sistema;65
Specialisti di personale e sviluppo di carriera;Addetti alla gestione degli stock;29
Specialisti di personale e sviluppo di carriera;Tecnici delle scienze sociali;34
Specialisti di personale e sviluppo di carriera;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;79
Specialisti di personale e sviluppo di carriera;Dirigenti nei servizi di vendita e commercializzazione;79
Specialisti di personale e sviluppo di carriera;Addetti a servizi statistici, finanziari e assicurativi;60
Specialisti di personale e sviluppo di carriera;Agenti immobiliari e amministratori;78
Specialisti di personale e sviluppo di carriera;Segretari addetti a mansioni amministrative ed esecutive;67
Specialisti di personale e sviluppo di carriera;Sviluppatori di software;54
Specialisti di personale e sviluppo di carriera;Dirigenti dell'industria manifatturiera;73
Specialisti di personale e sviluppo di carriera;Addetti alla gestione amministrativa dei trasporti;46
Specialisti di personale e sviluppo di carriera;Tecnici per la gestione dell'informazione e della comunicazione;63
Specialisti di personale e sviluppo di carriera;Disegnatori industriali;54
Specialisti di personale e sviluppo di carriera;Chef;41
Specialisti di personale e sviluppo di carriera;Responsabili degli acquisti;72
Specialisti di personale e sviluppo di carriera;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;54
Specialisti di personale e sviluppo di carriera;Sviluppatori Web e multimediali;56
Specialisti di personale e sviluppo di carriera;Dirigenti nel settore ricerca e sviluppo;77
Specialisti di personale e sviluppo di carriera;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;71
Specialisti di personale e sviluppo di carriera;Grafici e progettisti multimediali;50
Specialisti di personale e sviluppo di carriera;Specialisti della pubblicitˆ e del marketing;67
Specialisti di personale e sviluppo di carriera;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;75
Specialisti di personale e sviluppo di carriera;Dirigenti nei servizi finanziari;71
Specialisti di personale e sviluppo di carriera;Esattori di crediti ed assimilati;51
Specialisti di personale e sviluppo di carriera;Dirigenti nei servizi sanitari;70
Specialisti di personale e sviluppo di carriera;Specialisti nell'assistenza sociale e nell'orientamento;60
Specialisti di personale e sviluppo di carriera;Tecnici dei centri di informazione;60
Specialisti di personale e sviluppo di carriera;Aiuto contabili;53
Specialisti di personale e sviluppo di carriera;Ingegneri elettronici;45
Specialisti di personale e sviluppo di carriera;Addetti all'informazione;50
Specialisti di personale e sviluppo di carriera;Contabili;83
Specialisti di personale e sviluppo di carriera;Dirigenti nel commercio all'ingrosso e al dettaglio;84
Rappresentanti di commercio;Dirigenti delle risorse umane;80
Rappresentanti di commercio;Addetti alla reception (compiti generali);55
Rappresentanti di commercio;Infermieri (livello intermedio);66
Rappresentanti di commercio;Tecnici meccanici;54
Rappresentanti di commercio;Personale di ufficio con compiti generali;64
Rappresentanti di commercio;Analisti di sistema;70
Rappresentanti di commercio;Addetti alla gestione degli stock;29
Rappresentanti di commercio;Tecnici delle scienze sociali;38
Rappresentanti di commercio;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;99
Rappresentanti di commercio;Dirigenti nei servizi di vendita e commercializzazione;111
Rappresentanti di commercio;Addetti a servizi statistici, finanziari e assicurativi;76
Rappresentanti di commercio;Agenti immobiliari e amministratori;104
Rappresentanti di commercio;Segretari addetti a mansioni amministrative ed esecutive;78
Rappresentanti di commercio;Sviluppatori di software;59
Rappresentanti di commercio;Dirigenti dell'industria manifatturiera;80
Rappresentanti di commercio;Addetti alla gestione amministrativa dei trasporti;55
Rappresentanti di commercio;Tecnici per la gestione dell'informazione e della comunicazione;75
Rappresentanti di commercio;Disegnatori industriali;63
Rappresentanti di commercio;Chef;44
Rappresentanti di commercio;Responsabili degli acquisti;103
Rappresentanti di commercio;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;63
Rappresentanti di commercio;Sviluppatori Web e multimediali;63
Rappresentanti di commercio;Dirigenti nel settore ricerca e sviluppo;79
Rappresentanti di commercio;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;81
Rappresentanti di commercio;Grafici e progettisti multimediali;57
Rappresentanti di commercio;Specialisti della pubblicitˆ e del marketing;89
Rappresentanti di commercio;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;89
Rappresentanti di commercio;Dirigenti nei servizi finanziari;76
Rappresentanti di commercio;Esattori di crediti ed assimilati;53
Rappresentanti di commercio;Dirigenti nei servizi sanitari;70
Rappresentanti di commercio;Specialisti nell'assistenza sociale e nell'orientamento;59
Rappresentanti di commercio;Tecnici dei centri di informazione;72
Rappresentanti di commercio;Aiuto contabili;67
Rappresentanti di commercio;Ingegneri elettronici;50
Rappresentanti di commercio;Addetti all'informazione;56
Rappresentanti di commercio;Contabili;85
Rappresentanti di commercio;Dirigenti nel commercio all'ingrosso e al dettaglio;106
Dirigenti delle risorse umane;Addetti alla reception (compiti generali);53
Dirigenti delle risorse umane;Infermieri (livello intermedio);59
Dirigenti delle risorse umane;Tecnici meccanici;55
Dirigenti delle risorse umane;Personale di ufficio con compiti generali;54
Dirigenti delle risorse umane;Analisti di sistema;65
Dirigenti delle risorse umane;Addetti alla gestione degli stock;30
Dirigenti delle risorse umane;Tecnici delle scienze sociali;33
Dirigenti delle risorse umane;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;95
Dirigenti delle risorse umane;Dirigenti nei servizi di vendita e commercializzazione;83
Dirigenti delle risorse umane;Addetti a servizi statistici, finanziari e assicurativi;61
Dirigenti delle risorse umane;Agenti immobiliari e amministratori;81
Dirigenti delle risorse umane;Segretari addetti a mansioni amministrative ed esecutive;67
Dirigenti delle risorse umane;Sviluppatori di software;56
Dirigenti delle risorse umane;Dirigenti dell'industria manifatturiera;86
Dirigenti delle risorse umane;Addetti alla gestione amministrativa dei trasporti;55
Dirigenti delle risorse umane;Tecnici per la gestione dell'informazione e della comunicazione;65
Dirigenti delle risorse umane;Disegnatori industriali;56
Dirigenti delle risorse umane;Chef;42
Dirigenti delle risorse umane;Responsabili degli acquisti;70
Dirigenti delle risorse umane;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;52
Dirigenti delle risorse umane;Sviluppatori Web e multimediali;58
Dirigenti delle risorse umane;Dirigenti nel settore ricerca e sviluppo;82
Dirigenti delle risorse umane;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;75
Dirigenti delle risorse umane;Grafici e progettisti multimediali;53
Dirigenti delle risorse umane;Specialisti della pubblicitˆ e del marketing;62
Dirigenti delle risorse umane;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;87
Dirigenti delle risorse umane;Dirigenti nei servizi finanziari;79
Dirigenti delle risorse umane;Esattori di crediti ed assimilati;54
Dirigenti delle risorse umane;Dirigenti nei servizi sanitari;85
Dirigenti delle risorse umane;Specialisti nell'assistenza sociale e nell'orientamento;59
Dirigenti delle risorse umane;Tecnici dei centri di informazione;66
Dirigenti delle risorse umane;Aiuto contabili;54
Dirigenti delle risorse umane;Ingegneri elettronici;47
Dirigenti delle risorse umane;Addetti all'informazione;49
Dirigenti delle risorse umane;Contabili;73
Dirigenti delle risorse umane;Dirigenti nel commercio all'ingrosso e al dettaglio;88
Addetti alla reception (compiti generali);Infermieri (livello intermedio);48
Addetti alla reception (compiti generali);Tecnici meccanici;34
Addetti alla reception (compiti generali);Personale di ufficio con compiti generali;51
Addetti alla reception (compiti generali);Analisti di sistema;43
Addetti alla reception (compiti generali);Addetti alla gestione degli stock;30
Addetti alla reception (compiti generali);Tecnici delle scienze sociali;34
Addetti alla reception (compiti generali);Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;59
Addetti alla reception (compiti generali);Dirigenti nei servizi di vendita e commercializzazione;53
Addetti alla reception (compiti generali);Addetti a servizi statistici, finanziari e assicurativi;49
Addetti alla reception (compiti generali);Agenti immobiliari e amministratori;68
Addetti alla reception (compiti generali);Segretari addetti a mansioni amministrative ed esecutive;54
Addetti alla reception (compiti generali);Sviluppatori di software;35
Addetti alla reception (compiti generali);Dirigenti dell'industria manifatturiera;56
Addetti alla reception (compiti generali);Addetti alla gestione amministrativa dei trasporti;44
Addetti alla reception (compiti generali);Tecnici per la gestione dell'informazione e della comunicazione;59
Addetti alla reception (compiti generali);Disegnatori industriali;44
Addetti alla reception (compiti generali);Chef;31
Addetti alla reception (compiti generali);Responsabili degli acquisti;55
Addetti alla reception (compiti generali);Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;45
Addetti alla reception (compiti generali);Sviluppatori Web e multimediali;39
Addetti alla reception (compiti generali);Dirigenti nel settore ricerca e sviluppo;46
Addetti alla reception (compiti generali);Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;48
Addetti alla reception (compiti generali);Grafici e progettisti multimediali;39
Addetti alla reception (compiti generali);Specialisti della pubblicitˆ e del marketing;42
Addetti alla reception (compiti generali);Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;49
Addetti alla reception (compiti generali);Dirigenti nei servizi finanziari;41
Addetti alla reception (compiti generali);Esattori di crediti ed assimilati;47
Addetti alla reception (compiti generali);Dirigenti nei servizi sanitari;53
Addetti alla reception (compiti generali);Specialisti nell'assistenza sociale e nell'orientamento;49
Addetti alla reception (compiti generali);Tecnici dei centri di informazione;62
Addetti alla reception (compiti generali);Aiuto contabili;54
Addetti alla reception (compiti generali);Ingegneri elettronici;31
Addetti alla reception (compiti generali);Addetti all'informazione;54
Addetti alla reception (compiti generali);Contabili;46
Addetti alla reception (compiti generali);Dirigenti nel commercio all'ingrosso e al dettaglio;54
Infermieri (livello intermedio);Tecnici meccanici;47
Infermieri (livello intermedio);Personale di ufficio con compiti generali;47
Infermieri (livello intermedio);Analisti di sistema;56
Infermieri (livello intermedio);Addetti alla gestione degli stock;29
Infermieri (livello intermedio);Tecnici delle scienze sociali;38
Infermieri (livello intermedio);Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;66
Infermieri (livello intermedio);Dirigenti nei servizi di vendita e commercializzazione;63
Infermieri (livello intermedio);Addetti a servizi statistici, finanziari e assicurativi;52
Infermieri (livello intermedio);Agenti immobiliari e amministratori;69
Infermieri (livello intermedio);Segretari addetti a mansioni amministrative ed esecutive;52
Infermieri (livello intermedio);Sviluppatori di software;44
Infermieri (livello intermedio);Dirigenti dell'industria manifatturiera;63
Infermieri (livello intermedio);Addetti alla gestione amministrativa dei trasporti;46
Infermieri (livello intermedio);Tecnici per la gestione dell'informazione e della comunicazione;56
Infermieri (livello intermedio);Disegnatori industriali;49
Infermieri (livello intermedio);Chef;39
Infermieri (livello intermedio);Responsabili degli acquisti;62
Infermieri (livello intermedio);Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;49
Infermieri (livello intermedio);Sviluppatori Web e multimediali;50
Infermieri (livello intermedio);Dirigenti nel settore ricerca e sviluppo;64
Infermieri (livello intermedio);Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;57
Infermieri (livello intermedio);Grafici e progettisti multimediali;43
Infermieri (livello intermedio);Specialisti della pubblicitˆ e del marketing;49
Infermieri (livello intermedio);Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;62
Infermieri (livello intermedio);Dirigenti nei servizi finanziari;50
Infermieri (livello intermedio);Esattori di crediti ed assimilati;51
Infermieri (livello intermedio);Dirigenti nei servizi sanitari;65
